2026-04-22 00:05:00,663 - mlops_audit - INFO - Event: model_upload | Model: demo_joblib_svm | Version: 20260422_000500 | Status: success
2026-04-22 00:05:01,177 - mlops_audit - INFO - Event: model_upload | Model: demo_xgboost_cancer | Version: 20260422_000501 | Status: success
2026-04-22 00:05:03,946 - mlops_audit - INFO - Event: model_upload | Model: demo_lightgbm_wine | Version: 20260422_000503 | Status: success
2026-04-22 00:10:15,932 - mlops_audit - INFO - Event: model_upload | Model: demo_pickle_rf | Version: 20260422_001015 | Status: success
2026-04-22 00:10:15,986 - mlops_audit - INFO - Event: model_upload | Model: demo_joblib_svm | Version: 20260422_001015 | Status: success
2026-04-22 00:10:16,145 - mlops_audit - INFO - Event: model_upload | Model: demo_xgboost_cancer | Version: 20260422_001016 | Status: success
2026-04-22 00:10:18,659 - mlops_audit - INFO - Event: model_upload | Model: demo_lightgbm_wine | Version: 20260422_001018 | Status: success
2026-04-22 00:10:18,824 - mlops_audit - INFO - Event: model_upload | Model: demo_onnx_logreg | Version: 20260422_001018 | Status: success
2026-04-22 00:10:19,209 - mlops_audit - INFO - Event: model_upload | Model: demo_sklearn_gbt | Version: 20260422_001019 | Status: success
2026-04-22 00:10:19,262 - mlops_audit - INFO - Event: model_upload | Model: demo_regression_pipeline | Version: 20260422_001019 | Status: success
2026-04-22 00:10:19,364 - mlops_audit - INFO - Event: model_upload | Model: demo_xgb_regressor | Version: 20260422_001019 | Status: success
2026-04-22 00:10:19,690 - mlops_audit - INFO - Event: model_upload | Model: demo_onnx_mlp | Version: 20260422_001019 | Status: success
2026-04-22 00:10:19,767 - mlops_audit - INFO - Event: model_upload | Model: demo_lightgbm_regressor | Version: 20260422_001019 | Status: success
2026-04-22 00:28:06,596 - mlops_audit - INFO - Event: model_converted | Model: model-2 | Version: 20260422_002806 | Status: success
2026-04-22 00:28:06,608 - mlops_audit - INFO - Lineage: onnx -> onnx | Method: DirectCopyConverter | Model: 79ac27cf-5c51-4543-ae85-1f380ac087f9
2026-04-22 00:28:22,168 - mlops_audit - INFO - Event: model_registered | Model: model-2 | Version: 20260422_001019 | Status: success
